timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718030658883,74,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,277950,129,1,1,http://localhost:1010/api/plans/all,71,0,2
1718030658980,22,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,278020,129,1,1,http://localhost:1010/api/plans/all,18,0,0
1718030659017,21,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,278006,129,1,1,http://localhost:1010/api/plans/all,17,0,0
1718030659052,22,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,278013,129,1,1,http://localhost:1010/api/plans/all,17,0,0
1718030659085,27,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,277985,129,2,2,http://localhost:1010/api/plans/all,22,0,1
1718030659090,24,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,277992,129,2,2,http://localhost:1010/api/plans/all,19,0,0
1718030659126,28,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,278020,129,2,2,http://localhost:1010/api/plans/all,23,0,0
1718030659130,27,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,278027,129,2,2,http://localhost:1010/api/plans/all,22,0,0
1718030659167,21,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,277964,129,2,2,http://localhost:1010/api/plans/all,17,0,0
1718030659171,23,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,278027,129,2,2,http://localhost:1010/api/plans/all,18,0,0
1718030659203,23,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,278013,129,2,2,http://localhost:1010/api/plans/all,18,0,0
1718030659208,21,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,277950,129,2,2,http://localhost:1010/api/plans/all,17,0,0
1718030659239,22,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,278020,129,2,2,http://localhost:1010/api/plans/all,17,0,0
1718030659242,22,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,278027,129,2,2,http://localhost:1010/api/plans/all,17,0,0
