timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716734756136,55,GET All Plan,200,,Baseline Test Thread 1-1,text,true,,1318,129,1,1,http://localhost:8080/api/plans/all,54,0,2
1716734756645,18,GET All Plan,200,,Baseline Test Thread 1-2,text,true,,1318,129,2,2,http://localhost:8080/api/plans/all,17,0,1
1716734757147,20,GET All Plan,200,,Baseline Test Thread 1-3,text,true,,1318,129,3,3,http://localhost:8080/api/plans/all,19,0,0
1716734757314,13,GET All Plan,200,,Baseline Test Thread 1-2,text,true,,1690,129,3,3,http://localhost:8080/api/plans/all,13,0,0
1716734757314,13,GET All Plan,200,,Baseline Test Thread 1-1,text,true,,1690,129,3,3,http://localhost:8080/api/plans/all,13,0,0
1716734757370,17,GET All Plan,200,,Baseline Test Thread 1-3,text,true,,1876,129,3,3,http://localhost:8080/api/plans/all,16,0,0
1716734757530,16,GET All Plan,200,,Baseline Test Thread 1-1,text,true,,2248,129,3,3,http://localhost:8080/api/plans/all,16,0,0
1716734757533,16,GET All Plan,200,,Baseline Test Thread 1-2,text,true,,2248,129,3,3,http://localhost:8080/api/plans/all,16,0,0
1716734757603,12,GET All Plan,200,,Baseline Test Thread 1-3,text,true,,2434,129,3,3,http://localhost:8080/api/plans/all,12,0,0
1716734757637,15,GET All Plan,200,,Baseline Test Thread 1-4,text,true,,2434,129,4,4,http://localhost:8080/api/plans/all,15,0,0
1716734757766,13,GET All Plan,200,,Baseline Test Thread 1-1,text,true,,2806,129,4,4,http://localhost:8080/api/plans/all,12,0,0
1716734757766,14,GET All Plan,200,,Baseline Test Thread 1-2,text,true,,2806,129,4,4,http://localhost:8080/api/plans/all,13,0,0
1716734757837,14,GET All Plan,200,,Baseline Test Thread 1-3,text,true,,2992,129,4,4,http://localhost:8080/api/plans/all,14,0,0
1716734757881,16,GET All Plan,200,,Baseline Test Thread 1-4,text,true,,3179,129,4,4,http://localhost:8080/api/plans/all,15,0,0
1716734757992,14,GET All Plan,200,,Baseline Test Thread 1-2,text,true,,3553,129,4,4,http://localhost:8080/api/plans/all,14,0,0
1716734757996,16,GET All Plan,200,,Baseline Test Thread 1-1,text,true,,3553,129,4,4,http://localhost:8080/api/plans/all,15,0,0
1716734758072,14,GET All Plan,200,,Baseline Test Thread 1-3,text,true,,3740,129,4,4,http://localhost:8080/api/plans/all,14,0,0
