timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718030567724,1328,POST Create Plan,201,Created,Baseline Test Thread 1-6,text,true,,670,1300,59,59,http://localhost:1010/api/plans/create,1327,0,0
1718030568906,148,POST Create Plan,201,Created,Baseline Test Thread 1-45,text,true,,672,1301,59,59,http://localhost:1010/api/plans/create,147,0,0
1718030568322,732,POST Create Plan,201,Created,Baseline Test Thread 1-11,text,true,,672,1301,59,59,http://localhost:1010/api/plans/create,731,0,0
1718030567878,1176,POST Create Plan,201,Created,Baseline Test Thread 1-2,text,true,,670,1300,59,59,http://localhost:1010/api/plans/create,1175,0,0
1718030567953,1107,POST Create Plan,201,Created,Baseline Test Thread 1-4,text,true,,670,1300,60,60,http://localhost:1010/api/plans/create,1105,0,0
1718030567624,1455,POST Create Plan,201,Created,Baseline Test Thread 1-1,text,true,,670,1300,60,60,http://localhost:1010/api/plans/create,1454,0,0
1718030568605,505,POST Create Plan,201,Created,Baseline Test Thread 1-13,text,true,,672,1301,61,61,http://localhost:1010/api/plans/create,504,0,0
1718030568292,833,POST Create Plan,201,Created,Baseline Test Thread 1-10,text,true,,672,1301,62,62,http://localhost:1010/api/plans/create,831,0,0
1718030568735,397,POST Create Plan,201,Created,Baseline Test Thread 1-26,text,true,,672,1301,62,62,http://localhost:1010/api/plans/create,396,0,0
1718030568002,1130,POST Create Plan,201,Created,Baseline Test Thread 1-7,text,true,,670,1300,62,62,http://localhost:1010/api/plans/create,1129,0,0
1718030567923,1222,POST Create Plan,201,Created,Baseline Test Thread 1-5,text,true,,670,1300,63,63,http://localhost:1010/api/plans/create,1221,0,0
1718030568635,520,POST Create Plan,201,Created,Baseline Test Thread 1-22,text,true,,672,1301,63,63,http://localhost:1010/api/plans/create,519,0,0
1718030567923,1240,POST Create Plan,201,Created,Baseline Test Thread 1-8,text,true,,670,1300,63,63,http://localhost:1010/api/plans/create,1239,0,0
1718030568350,824,POST Create Plan,201,Created,Baseline Test Thread 1-17,text,true,,672,1301,64,64,http://localhost:1010/api/plans/create,823,0,0
1718030568280,949,POST Create Plan,201,Created,Baseline Test Thread 1-21,text,true,,672,1301,65,65,http://localhost:1010/api/plans/create,948,0,0
1718030568617,634,POST Create Plan,201,Created,Baseline Test Thread 1-16,text,true,,672,1301,66,66,http://localhost:1010/api/plans/create,634,0,0
1718030568955,303,POST Create Plan,201,Created,Baseline Test Thread 1-27,text,true,,672,1301,66,66,http://localhost:1010/api/plans/create,302,0,0
1718030568697,622,POST Create Plan,201,Created,Baseline Test Thread 1-14,text,true,,672,1301,68,68,http://localhost:1010/api/plans/create,621,0,0
1718030567995,1335,POST Create Plan,201,Created,Baseline Test Thread 1-9,text,true,,670,1300,69,69,http://localhost:1010/api/plans/create,1334,0,0
1718030568929,472,POST Create Plan,201,Created,Baseline Test Thread 1-34,text,true,,672,1301,71,71,http://localhost:1010/api/plans/create,472,0,0
1718030567678,1724,POST Create Plan,201,Created,Baseline Test Thread 1-3,text,true,,670,1300,71,71,http://localhost:1010/api/plans/create,1724,0,0
1718030569189,214,POST Create Plan,201,Created,Baseline Test Thread 1-35,text,true,,672,1301,71,71,http://localhost:1010/api/plans/create,213,0,0
