timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718036221269,148,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248451,129,1,1,http://localhost:1010/api/plans/all,121,0,2
1718036221435,58,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248451,129,2,2,http://localhost:1010/api/plans/all,21,0,0
1718036221469,65,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248450,129,2,2,http://localhost:1010/api/plans/all,34,0,1
1718036221512,53,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248451,129,2,2,http://localhost:1010/api/plans/all,22,0,0
1718036221549,55,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248443,129,2,2,http://localhost:1010/api/plans/all,31,0,0
1718036221581,52,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248450,129,2,2,http://localhost:1010/api/plans/all,20,0,0
1718036221620,42,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,2,2,http://localhost:1010/api/plans/all,19,0,0
1718036221647,52,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,3,3,http://localhost:1010/api/plans/all,21,0,0
1718036221667,56,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248444,129,3,3,http://localhost:1010/api/plans/all,23,0,1
1718036221680,57,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248451,129,3,3,http://localhost:1010/api/plans/all,22,0,0
1718036221716,62,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248451,129,3,3,http://localhost:1010/api/plans/all,22,0,0
1718036221741,63,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248450,129,3,3,http://localhost:1010/api/plans/all,29,0,0
1718036221756,62,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248450,129,3,3,http://localhost:1010/api/plans/all,24,0,0
1718036221796,58,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,3,3,http://localhost:1010/api/plans/all,25,0,0
1718036221825,66,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248443,129,4,4,http://localhost:1010/api/plans/all,25,0,0
1718036221839,63,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,4,4,http://localhost:1010/api/plans/all,27,0,0
1718036221867,65,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248451,129,4,4,http://localhost:1010/api/plans/all,30,0,1
1718036221875,68,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248451,129,4,4,http://localhost:1010/api/plans/all,26,0,0
1718036221911,65,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248451,129,4,4,http://localhost:1010/api/plans/all,26,0,0
1718036221921,67,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,4,4,http://localhost:1010/api/plans/all,26,0,0
1718036221952,69,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248437,129,4,4,http://localhost:1010/api/plans/all,26,0,0
1718036221963,70,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,4,4,http://localhost:1010/api/plans/all,29,0,0
1718036222001,88,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248451,129,5,5,http://localhost:1010/api/plans/all,47,0,0
1718036222012,82,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,43,0,0
1718036222052,71,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,31,0,0
1718036222055,70,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,31,0,0
1718036222067,72,GET All Plan,200,OK,Baseline Test Thread 1-5,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,31,0,1
1718036222108,77,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,28,0,0
1718036222114,76,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,28,0,0
1718036222143,78,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,37,0,0
1718036222146,78,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,36,0,0
1718036222168,68,GET All Plan,200,OK,Baseline Test Thread 1-5,text,true,,248444,129,5,5,http://localhost:1010/api/plans/all,30,0,0
1718036222205,76,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248451,129,6,6,http://localhost:1010/api/plans/all,31,0,0
1718036222210,77,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248437,129,6,6,http://localhost:1010/api/plans/all,33,0,0
1718036222244,76,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248451,129,6,6,http://localhost:1010/api/plans/all,26,0,0
1718036222246,82,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248437,129,6,6,http://localhost:1010/api/plans/all,34,0,0
1718036222258,80,GET All Plan,200,OK,Baseline Test Thread 1-5,text,true,,248444,129,6,6,http://localhost:1010/api/plans/all,38,0,0
1718036222267,88,GET All Plan,200,OK,Baseline Test Thread 1-6,text,true,,248423,129,6,6,http://localhost:1010/api/plans/all,35,0,1
1718036222308,93,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,6,6,http://localhost:1010/api/plans/all,34,0,0
1718036222303,100,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248444,129,6,6,http://localhost:1010/api/plans/all,41,0,0
1718036222352,86,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248451,129,6,6,http://localhost:1010/api/plans/all,42,0,0
1718036222349,89,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248451,129,6,6,http://localhost:1010/api/plans/all,46,0,0
1718036222365,87,GET All Plan,200,OK,Baseline Test Thread 1-5,text,true,,248437,129,6,6,http://localhost:1010/api/plans/all,44,0,0
1718036222401,97,GET All Plan,200,OK,Baseline Test Thread 1-6,text,true,,248444,129,7,7,http://localhost:1010/api/plans/all,30,0,0
1718036222421,100,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,7,7,http://localhost:1010/api/plans/all,30,0,0
1718036222427,142,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248444,129,7,7,http://localhost:1010/api/plans/all,28,0,0
1718036222463,147,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248451,129,7,7,http://localhost:1010/api/plans/all,43,0,0
1718036222461,151,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,7,7,http://localhost:1010/api/plans/all,45,0,0
1718036222466,162,GET All Plan,200,OK,Baseline Test Thread 1-7,text,true,,248437,129,7,7,http://localhost:1010/api/plans/all,52,0,1
1718036222518,146,GET All Plan,200,OK,Baseline Test Thread 1-6,text,true,,248451,129,7,7,http://localhost:1010/api/plans/all,44,0,0
1718036222493,191,GET All Plan,200,OK,Baseline Test Thread 1-5,text,true,,248451,129,8,8,http://localhost:1010/api/plans/all,66,0,0
1718036222549,199,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248451,129,8,8,http://localhost:1010/api/plans/all,50,0,0
1718036222594,161,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248444,129,8,8,http://localhost:1010/api/plans/all,49,0,0
1718036222634,161,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248444,129,8,8,http://localhost:1010/api/plans/all,45,0,0
1718036222636,161,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,8,8,http://localhost:1010/api/plans/all,47,0,0
1718036222651,190,GET All Plan,200,OK,Baseline Test Thread 1-7,text,true,,248451,129,8,8,http://localhost:1010/api/plans/all,57,0,0
1718036222668,179,GET All Plan,200,OK,Baseline Test Thread 1-8,text,true,,248444,129,8,8,http://localhost:1010/api/plans/all,58,0,1
1718036222688,176,GET All Plan,200,OK,Baseline Test Thread 1-6,text,true,,248451,129,8,8,http://localhost:1010/api/plans/all,54,0,0
1718036222781,135,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248451,129,9,9,http://localhost:1010/api/plans/all,49,0,0
