timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718042102096,116,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248451,129,1,1,http://localhost:1010/api/plans/all,93,0,3
1718042102297,52,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,2,2,http://localhost:1010/api/plans/all,29,0,1
1718042102497,50,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248444,129,3,3,http://localhost:1010/api/plans/all,23,0,1
1718042102509,48,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248450,129,3,3,http://localhost:1010/api/plans/all,21,0,0
1718042102525,49,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248430,129,3,3,http://localhost:1010/api/plans/all,21,0,0
1718042102563,56,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248430,129,3,3,http://localhost:1010/api/plans/all,28,0,0
1718042102573,67,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,3,3,http://localhost:1010/api/plans/all,33,0,0
1718042102602,61,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248451,129,3,3,http://localhost:1010/api/plans/all,32,0,0
1718042102644,53,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248451,129,4,4,http://localhost:1010/api/plans/all,22,0,0
1718042102658,57,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248444,129,4,4,http://localhost:1010/api/plans/all,21,0,0
1718042102684,58,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248444,129,4,4,http://localhost:1010/api/plans/all,24,0,0
1718042102697,67,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248444,129,4,4,http://localhost:1010/api/plans/all,31,0,1
1718042102719,59,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248444,129,4,4,http://localhost:1010/api/plans/all,26,0,0
1718042102737,59,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248450,129,4,4,http://localhost:1010/api/plans/all,25,0,0
1718042102760,59,GET All Plan,200,OK,Baseline Test Thread 1-2,text,true,,248450,129,4,4,http://localhost:1010/api/plans/all,25,0,0
1718042102783,68,GET All Plan,200,OK,Baseline Test Thread 1-4,text,true,,248451,129,4,4,http://localhost:1010/api/plans/all,28,0,0
1718042102797,65,GET All Plan,200,OK,Baseline Test Thread 1-3,text,true,,248450,129,4,4,http://localhost:1010/api/plans/all,27,0,0
1718042102816,62,GET All Plan,200,OK,Baseline Test Thread 1-1,text,true,,248450,129,4,4,http://localhost:1010/api/plans/all,28,0,0
