timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716731516789,681,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,2,2,http://localhost:8086/api/subscriptions/userPlanDetails,681,0,1
1716731516995,475,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,2,2,http://localhost:8086/api/subscriptions/userPlanDetails,475,0,1
1716731517493,43,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,3,3,http://localhost:8086/api/subscriptions/userPlanDetails,43,0,1
1716731517856,37,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,3,3,http://localhost:8086/api/subscriptions/userPlanDetails,36,0,0
1716731517853,40,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,3,3,http://localhost:8086/api/subscriptions/userPlanDetails,40,0,0
1716731517854,49,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,3,3,http://localhost:8086/api/subscriptions/userPlanDetails,49,0,0
1716731517995,61,GET Plan from User,200,,Baseline Test Thread 1-4,text,true,,472,1021,4,4,http://localhost:8086/api/subscriptions/userPlanDetails,61,0,1
1716731518111,50,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,4,4,http://localhost:8086/api/subscriptions/userPlanDetails,50,0,0
1716731518126,51,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,4,4,http://localhost:8086/api/subscriptions/userPlanDetails,51,0,0
1716731518137,49,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,4,4,http://localhost:8086/api/subscriptions/userPlanDetails,49,0,0
1716731518304,61,GET Plan from User,200,,Baseline Test Thread 1-4,text,true,,472,1021,4,4,http://localhost:8086/api/subscriptions/userPlanDetails,61,0,0
1716731518378,41,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,4,4,http://localhost:8086/api/subscriptions/userPlanDetails,41,0,0
1716731518390,37,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,4,4,http://localhost:8086/api/subscriptions/userPlanDetails,37,0,0
1716731518388,39,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,4,4,http://localhost:8086/api/subscriptions/userPlanDetails,39,0,0
1716731518501,45,GET Plan from User,200,,Baseline Test Thread 1-5,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,45,0,2
1716731518603,47,GET Plan from User,200,,Baseline Test Thread 1-4,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,47,0,0
1716731518650,48,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,48,0,0
1716731518681,35,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,35,0,0
1716731518673,43,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,43,0,0
1716731518819,49,GET Plan from User,200,,Baseline Test Thread 1-5,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,49,0,0
1716731518859,58,GET Plan from User,200,,Baseline Test Thread 1-4,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,58,0,0
1716731518915,43,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,43,0,0
1716731518931,41,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,5,5,http://localhost:8086/api/subscriptions/userPlanDetails,41,0,0
1716731518940,49,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,49,0,0
1716731518992,34,GET Plan from User,200,,Baseline Test Thread 1-6,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,34,0,1
1716731519098,51,GET Plan from User,200,,Baseline Test Thread 1-5,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,51,0,0
1716731519125,49,GET Plan from User,200,,Baseline Test Thread 1-4,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,49,0,0
1716731519181,43,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,43,0,0
1716731519197,48,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,48,0,0
1716731519236,37,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,37,0,0
1716731519283,31,GET Plan from User,200,,Baseline Test Thread 1-6,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,31,0,0
1716731519380,43,GET Plan from User,200,,Baseline Test Thread 1-5,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,43,0,0
1716731519397,55,GET Plan from User,200,,Baseline Test Thread 1-4,text,true,,472,1021,6,6,http://localhost:8086/api/subscriptions/userPlanDetails,55,0,0
1716731519439,91,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,91,0,0
1716731519465,76,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,76,0,0
1716731519506,42,GET Plan from User,200,,Baseline Test Thread 1-7,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,41,0,1
1716731519536,40,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,40,0,0
1716731519632,34,GET Plan from User,200,,Baseline Test Thread 1-6,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,34,0,0
1716731519695,47,GET Plan from User,200,,Baseline Test Thread 1-4,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,47,0,0
1716731519712,50,GET Plan from User,200,,Baseline Test Thread 1-5,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,50,0,0
1716731519752,53,GET Plan from User,200,,Baseline Test Thread 1-2,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,53,0,0
1716731519798,33,GET Plan from User,200,,Baseline Test Thread 1-7,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,33,0,0
1716731519804,32,GET Plan from User,200,,Baseline Test Thread 1-3,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,32,0,0
1716731519803,34,GET Plan from User,200,,Baseline Test Thread 1-1,text,true,,472,1021,7,7,http://localhost:8086/api/subscriptions/userPlanDetails,34,0,0
1716731519942,53,GET Plan from User,200,,Baseline Test Thread 1-6,text,true,,472,1021,8,8,http://localhost:8086/api/subscriptions/userPlanDetails,53,0,0
1716731519989,72,GET Plan from User,200,,Baseline Test Thread 1-5,text,true,,472,1021,8,8,http://localhost:8086/api/subscriptions/userPlanDetails,72,0,0
1716731519987,80,GET Plan from User,200,,Baseline Test Thread 1-4,text,true,,472,1021,8,8,http://localhost:8086/api/subscriptions/userPlanDetails,80,0,0
