timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716731517686,150,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,652,1282,3,3,http://localhost:8080/api/plans/create,149,0,0
1716731517648,188,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,652,1282,3,3,http://localhost:8080/api/plans/create,187,0,0
1716731517646,190,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,652,1282,3,3,http://localhost:8080/api/plans/create,189,0,0
1716731518046,42,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,652,1282,4,4,http://localhost:8080/api/plans/create,42,0,0
1716731518065,43,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,652,1282,4,4,http://localhost:8080/api/plans/create,43,0,0
1716731518086,31,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,652,1282,4,4,http://localhost:8080/api/plans/create,30,0,0
1716731518265,21,POST Create Plan,201,,Baseline Test Thread 1-4,text,true,,652,1282,4,4,http://localhost:8080/api/plans/create,21,0,0
1716731518327,25,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,652,1282,4,4,http://localhost:8080/api/plans/create,25,0,0
1716731518338,29,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,652,1282,4,4,http://localhost:8080/api/plans/create,29,0,0
1716731518341,33,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,654,1283,4,4,http://localhost:8080/api/plans/create,33,0,0
1716731518552,31,POST Create Plan,201,,Baseline Test Thread 1-4,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,30,0,0
1716731518608,23,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,23,0,0
1716731518628,29,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,29,0,0
1716731518631,32,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,31,0,0
1716731518788,17,POST Create Plan,201,,Baseline Test Thread 1-5,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,17,0,0
1716731518812,26,POST Create Plan,201,,Baseline Test Thread 1-4,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,26,0,0
1716731518866,22,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,22,0,0
1716731518878,39,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,39,0,0
1716731518893,33,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,654,1283,5,5,http://localhost:8080/api/plans/create,33,0,0
1716731519064,19,POST Create Plan,201,,Baseline Test Thread 1-5,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,18,0,0
1716731519091,19,POST Create Plan,201,,Baseline Test Thread 1-4,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,18,0,0
1716731519133,26,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,25,0,0
1716731519159,23,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,23,0,0
1716731519196,23,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,23,0,0
1716731519254,17,POST Create Plan,201,,Baseline Test Thread 1-6,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,17,0,0
1716731519346,20,POST Create Plan,201,,Baseline Test Thread 1-5,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,19,0,0
1716731519365,19,POST Create Plan,201,,Baseline Test Thread 1-4,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,19,0,0
1716731519406,19,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,19,0,0
1716731519415,29,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,654,1283,6,6,http://localhost:8080/api/plans/create,29,0,0
1716731519494,29,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,29,0,0
1716731519604,17,POST Create Plan,201,,Baseline Test Thread 1-6,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,17,0,0
1716731519666,18,POST Create Plan,201,,Baseline Test Thread 1-4,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,18,0,0
1716731519682,18,POST Create Plan,201,,Baseline Test Thread 1-5,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,18,0,0
1716731519714,24,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,24,0,0
1716731519762,18,POST Create Plan,201,,Baseline Test Thread 1-7,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,18,0,0
1716731519772,20,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,20,0,0
1716731519775,18,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,18,0,0
1716731519907,18,POST Create Plan,201,,Baseline Test Thread 1-6,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,18,0,0
1716731519946,21,POST Create Plan,201,,Baseline Test Thread 1-5,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,20,0,0
1716731519950,18,POST Create Plan,201,,Baseline Test Thread 1-4,text,true,,654,1283,7,7,http://localhost:8080/api/plans/create,18,0,0
1716731519984,29,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,29,0,0
1716731520038,27,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,27,0,0
1716731520058,21,POST Create Plan,201,,Baseline Test Thread 1-1,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,21,0,0
1716731520097,29,POST Create Plan,201,,Baseline Test Thread 1-7,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,29,0,0
1716731520270,32,POST Create Plan,201,,Baseline Test Thread 1-2,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,31,0,0
1716731520287,18,POST Create Plan,201,,Baseline Test Thread 1-6,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,18,0,0
1716731520296,42,POST Create Plan,201,,Baseline Test Thread 1-4,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,42,0,0
1716731520333,33,POST Create Plan,201,,Baseline Test Thread 1-8,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,32,0,0
1716731520343,27,POST Create Plan,201,,Baseline Test Thread 1-3,text,true,,654,1283,8,8,http://localhost:8080/api/plans/create,27,0,0
