timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718036150493,966,POST Create Plan,201,Created,Baseline Test Thread 1-1,text,true,,648,1300,55,55,http://localhost:1010/api/plans/create,966,0,0
1718036151314,145,POST Create Plan,201,Created,Baseline Test Thread 1-31,text,true,,650,1301,55,55,http://localhost:1010/api/plans/create,145,0,0
1718036151347,113,POST Create Plan,201,Created,Baseline Test Thread 1-22,text,true,,650,1301,55,55,http://localhost:1010/api/plans/create,112,0,0
1718036150582,880,POST Create Plan,201,Created,Baseline Test Thread 1-4,text,true,,648,1300,55,55,http://localhost:1010/api/plans/create,880,0,0
1718036150856,607,POST Create Plan,201,Created,Baseline Test Thread 1-11,text,true,,650,1301,55,55,http://localhost:1010/api/plans/create,606,0,0
1718036150975,495,POST Create Plan,201,Created,Baseline Test Thread 1-9,text,true,,648,1300,55,55,http://localhost:1010/api/plans/create,493,0,0
1718036150718,755,POST Create Plan,201,Created,Baseline Test Thread 1-3,text,true,,648,1300,56,56,http://localhost:1010/api/plans/create,754,0,0
1718036150621,855,POST Create Plan,201,Created,Baseline Test Thread 1-2,text,true,,648,1300,56,56,http://localhost:1010/api/plans/create,854,0,0
1718036150834,645,POST Create Plan,201,Created,Baseline Test Thread 1-6,text,true,,648,1300,56,56,http://localhost:1010/api/plans/create,642,0,0
1718036150928,567,POST Create Plan,201,Created,Baseline Test Thread 1-5,text,true,,648,1300,56,56,http://localhost:1010/api/plans/create,566,0,0
1718036151412,208,POST Create Plan,201,Created,Baseline Test Thread 1-12,text,true,,650,1301,60,60,http://localhost:1010/api/plans/create,208,0,0
1718036151677,305,POST Create Plan,201,Created,Baseline Test Thread 1-19,text,true,,650,1301,73,73,http://localhost:1010/api/plans/create,305,0,0
1718036151365,731,POST Create Plan,201,Created,Baseline Test Thread 1-7,text,true,,648,1300,76,76,http://localhost:1010/api/plans/create,731,0,0
