timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716734952454,88,GET All Plan,200,,Load Test Thread 1-1,text,true,,1005723,129,2,2,http://localhost:8080/api/plans/all,67,0,3
1716734952519,109,GET All Plan,200,,Load Test Thread 1-2,text,true,,1005723,129,4,4,http://localhost:8080/api/plans/all,81,0,1
1716734952555,129,GET All Plan,200,,Load Test Thread 1-3,text,true,,1005723,129,5,5,http://localhost:8080/api/plans/all,114,0,1
1716734952605,96,GET All Plan,200,,Load Test Thread 1-4,text,true,,1005723,129,5,5,http://localhost:8080/api/plans/all,78,0,1
1716734952655,85,GET All Plan,200,,Load Test Thread 1-5,text,true,,1005723,129,6,6,http://localhost:8080/api/plans/all,66,0,1
1716734952705,86,GET All Plan,200,,Load Test Thread 1-6,text,true,,1005723,129,7,7,http://localhost:8080/api/plans/all,68,0,1
1716734952748,90,GET All Plan,200,,Load Test Thread 1-1,text,true,,1005905,129,8,8,http://localhost:8080/api/plans/all,66,0,0
1716734952755,89,GET All Plan,200,,Load Test Thread 1-7,text,true,,1005905,129,8,8,http://localhost:8080/api/plans/all,69,0,1
1716734952793,95,GET All Plan,200,,Load Test Thread 1-2,text,true,,1006087,129,9,9,http://localhost:8080/api/plans/all,78,0,0
1716734952806,125,GET All Plan,200,,Load Test Thread 1-8,text,true,,1006087,129,10,10,http://localhost:8080/api/plans/all,93,0,1
1716734952847,119,GET All Plan,200,,Load Test Thread 1-3,text,true,,1006269,129,11,11,http://localhost:8080/api/plans/all,97,0,0
1716734952855,113,GET All Plan,200,,Load Test Thread 1-9,text,true,,1006269,129,11,11,http://localhost:8080/api/plans/all,89,0,1
1716734952888,128,GET All Plan,200,,Load Test Thread 1-4,text,true,,1006451,129,12,12,http://localhost:8080/api/plans/all,109,0,0
1716734952954,117,GET All Plan,200,,Load Test Thread 1-11,text,true,,1006633,129,13,13,http://localhost:8080/api/plans/all,98,0,1
1716734952905,169,GET All Plan,200,,Load Test Thread 1-10,text,true,,1006451,129,13,13,http://localhost:8080/api/plans/all,148,0,1
1716734952951,160,GET All Plan,200,,Load Test Thread 1-5,text,true,,1006633,129,14,14,http://localhost:8080/api/plans/all,138,0,0
1716734953069,99,GET All Plan,200,,Load Test Thread 1-1,text,true,,1006997,129,15,15,http://localhost:8080/api/plans/all,74,0,0
1716734953016,158,GET All Plan,200,,Load Test Thread 1-6,text,true,,1006815,129,15,15,http://localhost:8080/api/plans/all,135,0,0
1716734953005,231,GET All Plan,200,,Load Test Thread 1-12,text,true,,1006633,129,16,16,http://localhost:8080/api/plans/all,183,0,1
