timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716731827902,191,GET All Plan,200,,Load Test Thread 1-1,text,true,,310691,129,4,4,http://localhost:8080/api/plans/all,168,0,3
1716731827952,260,GET All Plan,200,,Load Test Thread 1-2,text,true,,310691,129,7,7,http://localhost:8080/api/plans/all,240,0,1
1716731828052,224,GET All Plan,200,,Load Test Thread 1-4,text,true,,310691,129,8,8,http://localhost:8080/api/plans/all,209,0,0
1716731828153,194,GET All Plan,200,,Load Test Thread 1-6,text,true,,310691,129,9,9,http://localhost:8080/api/plans/all,185,0,2
1716731828116,235,GET All Plan,200,,Load Test Thread 1-5,text,true,,310691,129,9,9,http://localhost:8080/api/plans/all,221,0,1
1716731828201,178,GET All Plan,200,,Load Test Thread 1-7,text,true,,310691,129,10,10,http://localhost:8080/api/plans/all,170,0,2
1716731828354,142,GET All Plan,200,,Load Test Thread 1-10,text,true,,310691,129,12,12,http://localhost:8080/api/plans/all,137,0,1
1716731828252,273,GET All Plan,200,,Load Test Thread 1-8,text,true,,310691,129,13,13,http://localhost:8080/api/plans/all,261,0,1
1716731828400,131,GET All Plan,200,,Load Test Thread 1-11,text,true,,310691,129,13,13,http://localhost:8080/api/plans/all,121,0,1
1716731828306,264,GET All Plan,200,,Load Test Thread 1-9,text,true,,310691,129,14,14,http://localhost:8080/api/plans/all,195,0,4
1716731828003,589,GET All Plan,200,,Load Test Thread 1-3,text,true,,310691,129,14,14,http://localhost:8080/api/plans/all,580,0,1
1716731828450,197,GET All Plan,200,,Load Test Thread 1-12,text,true,,310691,129,15,15,http://localhost:8080/api/plans/all,189,0,1
1716731828602,180,GET All Plan,200,,Load Test Thread 1-15,text,true,,310691,129,18,18,http://localhost:8080/api/plans/all,171,0,1
1716731828654,129,GET All Plan,200,,Load Test Thread 1-16,text,true,,310691,129,18,18,http://localhost:8080/api/plans/all,121,0,1
1716731828550,250,GET All Plan,200,,Load Test Thread 1-14,text,true,,310691,129,18,18,http://localhost:8080/api/plans/all,241,0,1
1716731828503,341,GET All Plan,200,,Load Test Thread 1-13,text,true,,310691,129,19,19,http://localhost:8080/api/plans/all,330,0,2
1716731828752,111,GET All Plan,200,,Load Test Thread 1-18,text,true,,310691,129,20,20,http://localhost:8080/api/plans/all,103,0,1
1716731828777,103,GET All Plan,200,,Load Test Thread 1-4,text,true,,310793,129,20,20,http://localhost:8080/api/plans/all,80,0,0
1716731828771,137,GET All Plan,200,,Load Test Thread 1-7,text,true,,310742,129,21,21,http://localhost:8080/api/plans/all,128,0,0
1716731828835,100,GET All Plan,200,,Load Test Thread 1-2,text,true,,310844,129,21,21,http://localhost:8080/api/plans/all,92,0,0
1716731828714,261,GET All Plan,200,,Load Test Thread 1-17,text,true,,310691,129,22,22,http://localhost:8080/api/plans/all,253,0,9
1716731828803,322,GET All Plan,200,,Load Test Thread 1-19,text,true,,310793,129,25,25,http://localhost:8080/api/plans/all,313,0,1
1716731828936,261,GET All Plan,200,,Load Test Thread 1-10,text,true,,310896,129,26,26,http://localhost:8080/api/plans/all,172,0,0
1716731828951,248,GET All Plan,200,,Load Test Thread 1-22,text,true,,310896,129,26,26,http://localhost:8080/api/plans/all,235,0,1
1716731828901,300,GET All Plan,200,,Load Test Thread 1-21,text,true,,310844,129,26,26,http://localhost:8080/api/plans/all,225,0,1
1716731828851,391,GET All Plan,200,,Load Test Thread 1-20,text,true,,310844,129,27,27,http://localhost:8080/api/plans/all,268,0,1
