timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718114399214,652,GET All Plan,200,OK,Resistance Test Thread 1-8,text,true,,277852,129,17,17,http://localhost:1010/api/plans/all,590,0,1
1718114398950,920,GET All Plan,200,OK,Resistance Test Thread 1-4,text,true,,277887,129,17,17,http://localhost:1010/api/plans/all,858,0,1
1718114399082,788,GET All Plan,200,OK,Resistance Test Thread 1-6,text,true,,278006,129,17,17,http://localhost:1010/api/plans/all,717,0,1
1718114399016,882,GET All Plan,200,OK,Resistance Test Thread 1-5,text,true,,278006,129,18,18,http://localhost:1010/api/plans/all,811,0,1
1718114398884,1030,GET All Plan,200,OK,Resistance Test Thread 1-3,text,true,,277908,129,18,18,http://localhost:1010/api/plans/all,920,0,1
1718114399280,648,GET All Plan,200,OK,Resistance Test Thread 1-9,text,true,,277908,129,18,18,http://localhost:1010/api/plans/all,550,0,0
1718114398817,1113,GET All Plan,200,OK,Resistance Test Thread 1-2,text,true,,277908,129,18,18,http://localhost:1010/api/plans/all,985,0,1
1718114398751,1180,GET All Plan,200,OK,Resistance Test Thread 1-1,text,true,,277901,129,18,18,http://localhost:1010/api/plans/all,1048,0,2
1718114399544,392,GET All Plan,200,OK,Resistance Test Thread 1-13,text,true,,277880,129,18,18,http://localhost:1010/api/plans/all,375,0,0
1718114399346,602,GET All Plan,200,OK,Resistance Test Thread 1-10,text,true,,277929,129,19,19,http://localhost:1010/api/plans/all,453,0,0
1718114399742,212,GET All Plan,200,OK,Resistance Test Thread 1-16,text,true,,277887,129,19,19,http://localhost:1010/api/plans/all,198,0,0
1718114399412,564,GET All Plan,200,OK,Resistance Test Thread 1-11,text,true,,277985,129,19,19,http://localhost:1010/api/plans/all,527,0,0
1718114399148,829,GET All Plan,200,OK,Resistance Test Thread 1-7,text,true,,278020,129,19,19,http://localhost:1010/api/plans/all,659,0,1
