timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718114401862,1726,POST Login,200,OK,Resistance Test Thread 1-21,text,true,,1401,254,74,74,http://localhost:1010/api/public/login,1726,0,0
1718114401866,1754,POST Login,200,OK,Resistance Test Thread 1-12,text,true,,1401,254,74,74,http://localhost:1010/api/public/login,1753,0,0
1718114401890,1734,POST Login,200,OK,Resistance Test Thread 1-9,text,true,,1401,254,74,74,http://localhost:1010/api/public/login,1733,0,0
1718114401897,1731,POST Login,200,OK,Resistance Test Thread 1-1,text,true,,1401,254,74,74,http://localhost:1010/api/public/login,1722,0,0
1718114401870,1760,POST Login,200,OK,Resistance Test Thread 1-5,text,true,,1401,254,74,74,http://localhost:1010/api/public/login,1756,0,0
1718114402073,1574,POST Login,200,OK,Resistance Test Thread 1-7,text,true,,1401,254,75,75,http://localhost:1010/api/public/login,1574,0,0
1718114401926,1739,POST Login,200,OK,Resistance Test Thread 1-24,text,true,,1401,254,75,75,http://localhost:1010/api/public/login,1738,0,0
1718114401881,1917,POST Login,200,OK,Resistance Test Thread 1-23,text,true,,1401,254,77,77,http://localhost:1010/api/public/login,1917,0,0
1718114401876,2046,POST Login,200,OK,Resistance Test Thread 1-17,text,true,,1401,254,79,79,http://localhost:1010/api/public/login,2045,0,0
1718114401939,2073,POST Login,200,OK,Resistance Test Thread 1-11,text,true,,1401,254,80,80,http://localhost:1010/api/public/login,2073,0,0
1718114402025,2425,POST Login,200,OK,Resistance Test Thread 1-25,text,true,,1401,254,87,87,http://localhost:1010/api/public/login,2424,0,0
1718114403016,1502,POST Login,200,OK,Resistance Test Thread 1-31,text,true,,1401,254,88,88,http://localhost:1010/api/public/login,1490,0,0
1718114402081,2574,POST Login,200,OK,Resistance Test Thread 1-20,text,true,,1401,254,90,90,http://localhost:1010/api/public/login,2570,0,0
1718114401950,2747,POST Login,200,OK,Resistance Test Thread 1-22,text,true,,1401,254,91,91,http://localhost:1010/api/public/login,2717,0,0
1718114401972,2762,POST Login,200,OK,Resistance Test Thread 1-19,text,true,,1401,254,91,91,http://localhost:1010/api/public/login,2760,0,0
1718114402878,1864,POST Login,200,OK,Resistance Test Thread 1-50,text,true,,1401,254,91,91,http://localhost:1010/api/public/login,1860,0,0
1718114402049,2826,POST Login,200,OK,Resistance Test Thread 1-16,text,true,,1401,254,93,93,http://localhost:1010/api/public/login,2826,0,0
1718114401930,2981,POST Login,200,OK,Resistance Test Thread 1-14,text,true,,1401,254,94,94,http://localhost:1010/api/public/login,2981,0,0
1718114403963,1058,POST Login,200,OK,Resistance Test Thread 1-1,text,true,,1401,254,95,95,http://localhost:1010/api/public/login,1056,0,0
1718114402292,2856,POST Login,200,OK,Resistance Test Thread 1-35,text,true,,1401,254,97,97,http://localhost:1010/api/public/login,2847,0,0
1718114404927,573,POST Login,200,OK,Resistance Test Thread 1-50,text,true,,1401,254,103,103,http://localhost:1010/api/public/login,569,0,0
1718114402221,3279,POST Login,200,OK,Resistance Test Thread 1-32,text,true,,1401,254,103,103,http://localhost:1010/api/public/login,3277,0,0
1718114402427,3141,POST Login,200,OK,Resistance Test Thread 1-42,text,true,,1401,254,104,104,http://localhost:1010/api/public/login,3141,0,0
1718114402484,3104,POST Login,200,OK,Resistance Test Thread 1-46,text,true,,1401,254,104,104,http://localhost:1010/api/public/login,3103,0,0
1718114402356,3297,POST Login,200,OK,Resistance Test Thread 1-6,text,true,,1401,254,105,105,http://localhost:1010/api/public/login,3297,0,0
1718114402427,3239,POST Login,200,OK,Resistance Test Thread 1-4,text,true,,1401,254,105,105,http://localhost:1010/api/public/login,3239,0,0
