timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717079170335,40,GET All Plan,200,,Resistance Test Thread 1-1,text,true,,1318,129,1,1,http://localhost:8080/api/plans/all,39,0,2
1717079170415,21,GET All Plan,200,,Resistance Test Thread 1-2,text,true,,1318,129,2,2,http://localhost:8080/api/plans/all,20,0,1
1717079170496,20,GET All Plan,200,,Resistance Test Thread 1-3,text,true,,1318,129,3,3,http://localhost:8080/api/plans/all,20,0,1
1717079170618,40,GET All Plan,200,,Resistance Test Thread 1-4,text,true,,1870,129,5,5,http://localhost:8080/api/plans/all,39,0,2
1717079170656,28,GET All Plan,200,,Resistance Test Thread 1-5,text,true,,1870,129,5,5,http://localhost:8080/api/plans/all,28,0,2
1717079170743,17,GET All Plan,200,,Resistance Test Thread 1-6,text,true,,2238,129,6,6,http://localhost:8080/api/plans/all,17,0,0
1717079170817,23,GET All Plan,200,,Resistance Test Thread 1-7,text,true,,2422,129,7,7,http://localhost:8080/api/plans/all,23,0,0
1717079170912,27,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,2606,129,8,8,http://localhost:8080/api/plans/all,27,0,2
1717079170976,17,GET All Plan,200,,Resistance Test Thread 1-9,text,true,,2790,129,9,9,http://localhost:8080/api/plans/all,16,0,1
1717079171057,18,GET All Plan,200,,Resistance Test Thread 1-10,text,true,,2974,129,10,10,http://localhost:8080/api/plans/all,18,0,1
1717079171137,18,GET All Plan,200,,Resistance Test Thread 1-11,text,true,,3159,129,11,11,http://localhost:8080/api/plans/all,17,0,1
1717079171216,29,GET All Plan,200,,Resistance Test Thread 1-12,text,true,,3344,129,12,12,http://localhost:8080/api/plans/all,29,0,0
1717079171296,18,GET All Plan,200,,Resistance Test Thread 1-13,text,true,,3529,129,13,13,http://localhost:8080/api/plans/all,17,0,1
1717079171377,18,GET All Plan,200,,Resistance Test Thread 1-14,text,true,,3714,129,14,14,http://localhost:8080/api/plans/all,18,0,1
1717079171457,18,GET All Plan,200,,Resistance Test Thread 1-15,text,true,,3899,129,15,15,http://localhost:8080/api/plans/all,17,0,1
1717079171537,18,GET All Plan,200,,Resistance Test Thread 1-16,text,true,,4084,129,16,16,http://localhost:8080/api/plans/all,18,0,1
1717079171616,20,GET All Plan,200,,Resistance Test Thread 1-17,text,true,,4269,129,17,17,http://localhost:8080/api/plans/all,20,0,3
1717079171696,18,GET All Plan,200,,Resistance Test Thread 1-18,text,true,,4454,129,18,18,http://localhost:8080/api/plans/all,18,0,1
1717079171776,19,GET All Plan,200,,Resistance Test Thread 1-19,text,true,,4640,129,19,19,http://localhost:8080/api/plans/all,19,0,1
1717079171858,24,GET All Plan,200,,Resistance Test Thread 1-20,text,true,,4825,129,20,20,http://localhost:8080/api/plans/all,23,0,2
1717079171973,18,GET All Plan,200,,Resistance Test Thread 1-21,text,true,,5010,129,21,21,http://localhost:8080/api/plans/all,18,0,3
1717079172020,23,GET All Plan,200,,Resistance Test Thread 1-9,text,true,,5195,129,22,22,http://localhost:8080/api/plans/all,22,0,1
1717079172020,26,GET All Plan,200,,Resistance Test Thread 1-1,text,true,,5195,129,22,22,http://localhost:8080/api/plans/all,25,0,1
1717079172020,29,GET All Plan,200,,Resistance Test Thread 1-10,text,true,,5195,129,22,22,http://localhost:8080/api/plans/all,29,0,1
1717079172026,28,GET All Plan,200,,Resistance Test Thread 1-7,text,true,,5195,129,22,22,http://localhost:8080/api/plans/all,28,0,1
1717079172025,39,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,5195,129,22,22,http://localhost:8080/api/plans/all,38,0,1
1717079172020,44,GET All Plan,200,,Resistance Test Thread 1-3,text,true,,5195,129,22,22,http://localhost:8080/api/plans/all,44,0,1
1717079172022,45,GET All Plan,200,,Resistance Test Thread 1-6,text,true,,5195,129,22,22,http://localhost:8080/api/plans/all,44,0,1
1717079172020,50,GET All Plan,200,,Resistance Test Thread 1-4,text,true,,5195,129,22,22,http://localhost:8080/api/plans/all,50,0,1
1717079172023,154,GET All Plan,200,,Resistance Test Thread 1-2,text,true,,6675,129,23,23,http://localhost:8080/api/plans/all,153,0,1
1717079172018,163,GET All Plan,200,,Resistance Test Thread 1-22,text,true,,6675,129,23,23,http://localhost:8080/api/plans/all,163,0,149
1717079172135,68,GET All Plan,200,,Resistance Test Thread 1-23,text,true,,6675,129,23,23,http://localhost:8080/api/plans/all,68,0,1
1717079172222,35,GET All Plan,200,,Resistance Test Thread 1-24,text,true,,7045,129,24,24,http://localhost:8080/api/plans/all,34,0,3
1717079172268,18,GET All Plan,200,,Resistance Test Thread 1-16,text,true,,7230,129,24,24,http://localhost:8080/api/plans/all,18,0,0
1717079172268,18,GET All Plan,200,,Resistance Test Thread 1-15,text,true,,7230,129,24,24,http://localhost:8080/api/plans/all,18,0,0
1717079172278,20,GET All Plan,200,,Resistance Test Thread 1-13,text,true,,7230,129,24,24,http://localhost:8080/api/plans/all,20,0,0
1717079172024,345,GET All Plan,200,,Resistance Test Thread 1-5,text,true,,7600,129,24,24,http://localhost:8080/api/plans/all,345,0,0
1717079172358,16,GET All Plan,200,,Resistance Test Thread 1-18,text,true,,7970,129,24,24,http://localhost:8080/api/plans/all,16,0,1
1717079172358,23,GET All Plan,200,,Resistance Test Thread 1-12,text,true,,7970,129,24,24,http://localhost:8080/api/plans/all,23,0,1
1717079172363,22,GET All Plan,200,,Resistance Test Thread 1-19,text,true,,7970,129,25,25,http://localhost:8080/api/plans/all,21,0,1
1717079172277,132,GET All Plan,200,,Resistance Test Thread 1-14,text,true,,7230,129,26,26,http://localhost:8080/api/plans/all,132,0,1
1717079172382,39,GET All Plan,200,,Resistance Test Thread 1-25,text,true,,7970,129,26,26,http://localhost:8080/api/plans/all,39,0,1
1717079172408,53,GET All Plan,200,,Resistance Test Thread 1-17,text,true,,8340,129,27,27,http://localhost:8080/api/plans/all,52,0,1
1717079172408,62,GET All Plan,200,,Resistance Test Thread 1-11,text,true,,8902,129,27,27,http://localhost:8080/api/plans/all,61,0,1
1717079172460,58,GET All Plan,200,,Resistance Test Thread 1-27,text,true,,9087,129,27,27,http://localhost:8080/api/plans/all,56,0,5
1717079172501,45,GET All Plan,200,,Resistance Test Thread 1-26,text,true,,9457,129,27,27,http://localhost:8080/api/plans/all,45,0,26
1717079172581,19,GET All Plan,200,,Resistance Test Thread 1-28,text,true,,9827,129,28,28,http://localhost:8080/api/plans/all,19,0,1
1717079172587,19,GET All Plan,200,,Resistance Test Thread 1-9,text,true,,9827,129,28,28,http://localhost:8080/api/plans/all,18,0,1
1717079172591,29,GET All Plan,200,,Resistance Test Thread 1-21,text,true,,9827,129,28,28,http://localhost:8080/api/plans/all,28,0,1
1717079172703,21,GET All Plan,200,,Resistance Test Thread 1-4,text,true,,10382,129,28,28,http://localhost:8080/api/plans/all,21,0,1
1717079172715,13,GET All Plan,200,,Resistance Test Thread 1-6,text,true,,10382,129,28,28,http://localhost:8080/api/plans/all,13,0,0
1717079172739,14,GET All Plan,200,,Resistance Test Thread 1-10,text,true,,10382,129,28,28,http://localhost:8080/api/plans/all,13,0,1
1717079172766,13,GET All Plan,200,,Resistance Test Thread 1-3,text,true,,10752,129,28,28,http://localhost:8080/api/plans/all,13,0,1
1717079172790,23,GET All Plan,200,,Resistance Test Thread 1-29,text,true,,10937,129,30,30,http://localhost:8080/api/plans/all,22,0,2
1717079172793,23,GET All Plan,200,,Resistance Test Thread 1-30,text,true,,11122,129,30,30,http://localhost:8080/api/plans/all,23,0,0
1717079172827,13,GET All Plan,200,,Resistance Test Thread 1-20,text,true,,11492,129,30,30,http://localhost:8080/api/plans/all,13,0,1
1717079172843,16,GET All Plan,200,,Resistance Test Thread 1-17,text,true,,11492,129,30,30,http://localhost:8080/api/plans/all,15,0,0
1717079172873,19,GET All Plan,200,,Resistance Test Thread 1-31,text,true,,11862,129,31,31,http://localhost:8080/api/plans/all,18,0,1
1717079172927,17,GET All Plan,200,,Resistance Test Thread 1-23,text,true,,12047,129,31,31,http://localhost:8080/api/plans/all,16,0,1
1717079172947,29,GET All Plan,200,,Resistance Test Thread 1-32,text,true,,12047,129,33,33,http://localhost:8080/api/plans/all,28,0,1
1717079172972,22,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,12232,129,33,33,http://localhost:8080/api/plans/all,21,0,1
1717079172977,21,GET All Plan,200,,Resistance Test Thread 1-33,text,true,,12232,129,33,33,http://localhost:8080/api/plans/all,21,0,3
1717079173069,27,GET All Plan,200,,Resistance Test Thread 1-7,text,true,,12788,129,33,33,http://localhost:8080/api/plans/all,27,0,1
1717079173067,60,GET All Plan,200,,Resistance Test Thread 1-1,text,true,,12788,129,33,33,http://localhost:8080/api/plans/all,59,0,1
1717079173095,45,GET All Plan,200,,Resistance Test Thread 1-11,text,true,,12973,129,33,33,http://localhost:8080/api/plans/all,44,0,1
1717079173165,10,GET All Plan,200,,Resistance Test Thread 1-27,text,true,,13343,129,34,34,http://localhost:8080/api/plans/all,9,0,0
1717079173170,13,GET All Plan,200,,Resistance Test Thread 1-34,text,true,,13343,129,34,34,http://localhost:8080/api/plans/all,12,0,1
1717079173186,13,GET All Plan,200,,Resistance Test Thread 1-35,text,true,,13343,129,36,36,http://localhost:8080/api/plans/all,13,0,1
1717079173190,15,GET All Plan,200,,Resistance Test Thread 1-36,text,true,,13528,129,36,36,http://localhost:8080/api/plans/all,15,0,1
1717079173317,26,GET All Plan,200,,Resistance Test Thread 1-38,text,true,,14083,129,38,38,http://localhost:8080/api/plans/all,26,0,1
1717079173310,33,GET All Plan,200,,Resistance Test Thread 1-37,text,true,,14083,129,38,38,http://localhost:8080/api/plans/all,33,0,5
1717079173367,28,GET All Plan,200,,Resistance Test Thread 1-28,text,true,,14083,129,39,39,http://localhost:8080/api/plans/all,27,0,1
1717079173386,20,GET All Plan,200,,Resistance Test Thread 1-39,text,true,,14268,129,39,39,http://localhost:8080/api/plans/all,20,0,5
1717079173413,44,GET All Plan,200,,Resistance Test Thread 1-21,text,true,,14268,129,39,39,http://localhost:8080/api/plans/all,44,0,1
1717079173442,23,GET All Plan,200,,Resistance Test Thread 1-26,text,true,,14453,129,39,39,http://localhost:8080/api/plans/all,23,0,1
1717079173472,52,GET All Plan,200,,Resistance Test Thread 1-6,text,true,,14638,129,39,39,http://localhost:8080/api/plans/all,52,0,1
1717079173574,62,GET All Plan,200,,Resistance Test Thread 1-7,text,true,,15378,129,40,40,http://localhost:8080/api/plans/all,62,0,1
1717079173615,41,GET All Plan,200,,Resistance Test Thread 1-41,text,true,,15378,129,40,40,http://localhost:8080/api/plans/all,40,0,1
1717079173682,35,GET All Plan,200,,Resistance Test Thread 1-10,text,true,,15378,129,40,40,http://localhost:8080/api/plans/all,34,0,1
1717079173696,22,GET All Plan,200,,Resistance Test Thread 1-4,text,true,,15378,129,40,40,http://localhost:8080/api/plans/all,22,0,1
1717079173728,92,GET All Plan,200,,Resistance Test Thread 1-40,text,true,,15933,129,42,42,http://localhost:8080/api/plans/all,92,0,1
1717079173730,98,GET All Plan,200,,Resistance Test Thread 1-43,text,true,,15933,129,42,42,http://localhost:8080/api/plans/all,98,0,2
1717079173789,76,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,15933,129,42,42,http://localhost:8080/api/plans/all,76,0,1
1717079173850,75,GET All Plan,200,,Resistance Test Thread 1-17,text,true,,16118,129,43,43,http://localhost:8080/api/plans/all,75,0,2
