timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717080524491,79,GET All Plan,200,,Resistance Test Thread 1-1,text,true,,736,129,3,3,http://localhost:8080/api/plans/all,78,0,20
1717080524492,79,GET All Plan,200,,Resistance Test Thread 1-2,text,true,,736,129,3,3,http://localhost:8080/api/plans/all,78,0,20
1717080524551,28,GET All Plan,200,,Resistance Test Thread 1-3,text,true,,736,129,3,3,http://localhost:8080/api/plans/all,28,0,2
1717080524631,23,GET All Plan,200,,Resistance Test Thread 1-4,text,true,,736,129,4,4,http://localhost:8080/api/plans/all,22,0,1
1717080524713,17,GET All Plan,200,,Resistance Test Thread 1-5,text,true,,736,129,5,5,http://localhost:8080/api/plans/all,17,0,1
1717080524791,22,GET All Plan,200,,Resistance Test Thread 1-6,text,true,,736,129,6,6,http://localhost:8080/api/plans/all,22,0,2
1717080524872,26,GET All Plan,200,,Resistance Test Thread 1-7,text,true,,736,129,7,7,http://localhost:8080/api/plans/all,26,0,1
1717080524950,19,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,736,129,8,8,http://localhost:8080/api/plans/all,18,0,2
1717080525032,43,GET All Plan,200,,Resistance Test Thread 1-9,text,true,,1153,129,9,9,http://localhost:8080/api/plans/all,43,0,2
1717080525110,19,GET All Plan,200,,Resistance Test Thread 1-10,text,true,,1205,129,10,10,http://localhost:8080/api/plans/all,19,0,2
1717080525192,36,GET All Plan,200,,Resistance Test Thread 1-11,text,true,,1258,129,11,11,http://localhost:8080/api/plans/all,36,0,1
1717080525271,22,GET All Plan,200,,Resistance Test Thread 1-12,text,true,,1311,129,12,12,http://localhost:8080/api/plans/all,22,0,2
1717080525351,30,GET All Plan,200,,Resistance Test Thread 1-13,text,true,,1364,129,13,13,http://localhost:8080/api/plans/all,29,0,2
1717080525431,20,GET All Plan,200,,Resistance Test Thread 1-14,text,true,,1417,129,14,14,http://localhost:8080/api/plans/all,20,0,2
1717080525511,29,GET All Plan,200,,Resistance Test Thread 1-15,text,true,,1470,129,15,15,http://localhost:8080/api/plans/all,29,0,1
1717080525591,20,GET All Plan,200,,Resistance Test Thread 1-16,text,true,,1523,129,16,16,http://localhost:8080/api/plans/all,20,0,2
1717080525671,18,GET All Plan,200,,Resistance Test Thread 1-17,text,true,,1576,129,17,17,http://localhost:8080/api/plans/all,18,0,1
1717080525750,17,GET All Plan,200,,Resistance Test Thread 1-18,text,true,,1629,129,18,18,http://localhost:8080/api/plans/all,17,0,2
1717080525830,31,GET All Plan,200,,Resistance Test Thread 1-19,text,true,,1682,129,19,19,http://localhost:8080/api/plans/all,30,0,2
1717080525910,19,GET All Plan,200,,Resistance Test Thread 1-20,text,true,,1735,129,20,20,http://localhost:8080/api/plans/all,18,0,2
1717080526007,21,GET All Plan,200,,Resistance Test Thread 1-21,text,true,,1788,129,21,21,http://localhost:8080/api/plans/all,21,0,1
1717080526072,21,GET All Plan,200,,Resistance Test Thread 1-22,text,true,,1841,129,22,22,http://localhost:8080/api/plans/all,21,0,1
1717080526152,19,GET All Plan,200,,Resistance Test Thread 1-23,text,true,,1894,129,23,23,http://localhost:8080/api/plans/all,19,0,1
1717080526230,17,GET All Plan,200,,Resistance Test Thread 1-24,text,true,,1947,129,24,24,http://localhost:8080/api/plans/all,17,0,1
1717080526311,16,GET All Plan,200,,Resistance Test Thread 1-25,text,true,,2000,129,25,25,http://localhost:8080/api/plans/all,16,0,1
1717080526390,16,GET All Plan,200,,Resistance Test Thread 1-26,text,true,,2053,129,26,26,http://localhost:8080/api/plans/all,16,0,1
1717080526470,18,GET All Plan,200,,Resistance Test Thread 1-27,text,true,,2106,129,27,27,http://localhost:8080/api/plans/all,18,0,2
1717080526553,49,GET All Plan,200,,Resistance Test Thread 1-28,text,true,,2159,129,28,28,http://localhost:8080/api/plans/all,49,0,2
1717080526631,51,GET All Plan,200,,Resistance Test Thread 1-29,text,true,,2212,129,29,29,http://localhost:8080/api/plans/all,51,0,2
1717080526657,34,GET All Plan,200,,Resistance Test Thread 1-11,text,true,,2212,129,29,29,http://localhost:8080/api/plans/all,34,0,2
