timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717080524813,204,POST Create Plan,201,,Resistance Test Thread 1-6,text,true,,646,1279,8,8,http://localhost:8080/api/plans/create,203,0,0
1717080524577,440,POST Create Plan,201,,Resistance Test Thread 1-2,text,true,,646,1279,8,8,http://localhost:8080/api/plans/create,440,0,0
1717080524969,48,POST Create Plan,201,,Resistance Test Thread 1-8,text,true,,646,1279,8,8,http://localhost:8080/api/plans/create,47,0,0
1717080524654,365,POST Create Plan,201,,Resistance Test Thread 1-4,text,true,,646,1279,8,8,http://localhost:8080/api/plans/create,362,0,0
1717080524580,442,POST Create Plan,201,,Resistance Test Thread 1-3,text,true,,646,1279,8,8,http://localhost:8080/api/plans/create,439,0,0
1717080524899,123,POST Create Plan,201,,Resistance Test Thread 1-7,text,true,,646,1279,8,8,http://localhost:8080/api/plans/create,119,0,0
1717080524731,292,POST Create Plan,201,,Resistance Test Thread 1-5,text,true,,646,1279,8,8,http://localhost:8080/api/plans/create,291,0,0
1717080524577,446,POST Create Plan,201,,Resistance Test Thread 1-1,text,true,,646,1279,8,8,http://localhost:8080/api/plans/create,445,0,0
1717080525076,19,POST Create Plan,201,,Resistance Test Thread 1-9,text,true,,646,1279,9,9,http://localhost:8080/api/plans/create,19,0,0
1717080525129,21,POST Create Plan,201,,Resistance Test Thread 1-10,text,true,,648,1280,10,10,http://localhost:8080/api/plans/create,21,0,0
1717080525229,29,POST Create Plan,201,,Resistance Test Thread 1-11,text,true,,648,1280,11,11,http://localhost:8080/api/plans/create,29,0,0
1717080525294,24,POST Create Plan,201,,Resistance Test Thread 1-12,text,true,,648,1280,12,12,http://localhost:8080/api/plans/create,24,0,0
1717080525382,26,POST Create Plan,201,,Resistance Test Thread 1-13,text,true,,648,1280,13,13,http://localhost:8080/api/plans/create,26,0,0
1717080525452,22,POST Create Plan,201,,Resistance Test Thread 1-14,text,true,,648,1280,14,14,http://localhost:8080/api/plans/create,21,0,0
1717080525541,21,POST Create Plan,201,,Resistance Test Thread 1-15,text,true,,648,1280,15,15,http://localhost:8080/api/plans/create,21,0,0
1717080525612,26,POST Create Plan,201,,Resistance Test Thread 1-16,text,true,,648,1280,16,16,http://localhost:8080/api/plans/create,25,0,0
1717080525690,28,POST Create Plan,201,,Resistance Test Thread 1-17,text,true,,648,1280,17,17,http://localhost:8080/api/plans/create,28,0,0
