timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717074419040,1912,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,1825,0,2
1717074418865,2085,GET All Plan,200,,Resistance Test Thread 1-6,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,2000,0,1
1717074418625,2350,GET All Plan,200,,Resistance Test Thread 1-3,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,2240,0,1
1717074418706,2281,GET All Plan,200,,Resistance Test Thread 1-4,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,2159,0,1
1717074419107,1885,GET All Plan,200,,Resistance Test Thread 1-9,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,1758,0,2
1717074418560,2435,GET All Plan,200,,Resistance Test Thread 1-1,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,2304,0,17
1717074418561,2436,GET All Plan,200,,Resistance Test Thread 1-2,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,2304,0,17
1717074418785,2224,GET All Plan,200,,Resistance Test Thread 1-5,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,2088,0,2
1717074419186,1837,GET All Plan,200,,Resistance Test Thread 1-10,text,true,,1029552,129,32,32,http://localhost:8080/api/plans/all,1679,0,1
1717074418946,2177,GET All Plan,200,,Resistance Test Thread 1-7,text,true,,1029552,129,34,34,http://localhost:8080/api/plans/all,1919,0,2
1717074419506,2135,GET All Plan,200,,Resistance Test Thread 1-14,text,true,,1029552,129,40,40,http://localhost:8080/api/plans/all,2087,0,2
1717074419826,1832,GET All Plan,200,,Resistance Test Thread 1-18,text,true,,1029552,129,40,40,http://localhost:8080/api/plans/all,1790,0,2
1717074419586,2087,GET All Plan,200,,Resistance Test Thread 1-15,text,true,,1029552,129,41,41,http://localhost:8080/api/plans/all,2050,0,1
1717074419746,1947,GET All Plan,200,,Resistance Test Thread 1-17,text,true,,1029552,129,41,41,http://localhost:8080/api/plans/all,1893,0,1
1717074419266,2443,GET All Plan,200,,Resistance Test Thread 1-11,text,true,,1029552,129,41,41,http://localhost:8080/api/plans/all,2406,0,2
1717074419667,2079,GET All Plan,200,,Resistance Test Thread 1-16,text,true,,1029552,129,42,42,http://localhost:8080/api/plans/all,1988,0,1
1717074419425,2369,GET All Plan,200,,Resistance Test Thread 1-13,text,true,,1029552,129,42,42,http://localhost:8080/api/plans/all,2298,0,2
1717074419352,2453,GET All Plan,200,,Resistance Test Thread 1-12,text,true,,1029552,129,42,42,http://localhost:8080/api/plans/all,2422,0,1
1717074419986,2057,GET All Plan,200,,Resistance Test Thread 1-20,text,true,,1029552,129,45,45,http://localhost:8080/api/plans/all,2013,0,1
1717074419906,2145,GET All Plan,200,,Resistance Test Thread 1-19,text,true,,1029552,129,45,45,http://localhost:8080/api/plans/all,2104,0,1
1717074420306,1899,GET All Plan,200,,Resistance Test Thread 1-24,text,true,,1029552,129,47,47,http://localhost:8080/api/plans/all,1869,0,1
1717074420546,1670,GET All Plan,200,,Resistance Test Thread 1-27,text,true,,1029552,129,47,47,http://localhost:8080/api/plans/all,1638,0,2
1717074420225,2016,GET All Plan,200,,Resistance Test Thread 1-23,text,true,,1029552,129,48,48,http://localhost:8080/api/plans/all,1980,0,2
1717074420625,1663,GET All Plan,200,,Resistance Test Thread 1-28,text,true,,1029552,129,48,48,http://localhost:8080/api/plans/all,1631,0,1
1717074420866,1637,GET All Plan,200,,Resistance Test Thread 1-31,text,true,,1029552,129,51,51,http://localhost:8080/api/plans/all,1606,0,2
1717074420145,2451,GET All Plan,200,,Resistance Test Thread 1-22,text,true,,1029552,129,52,52,http://localhost:8080/api/plans/all,2348,0,2
1717074420947,1684,GET All Plan,200,,Resistance Test Thread 1-32,text,true,,1029552,129,53,53,http://localhost:8080/api/plans/all,1652,0,7
1717074420385,2325,GET All Plan,200,,Resistance Test Thread 1-25,text,true,,1029552,129,54,54,http://localhost:8080/api/plans/all,2222,0,2
1717074421185,1606,GET All Plan,200,,Resistance Test Thread 1-35,text,true,,1029552,129,55,55,http://localhost:8080/api/plans/all,1576,0,2
1717074420705,2125,GET All Plan,200,,Resistance Test Thread 1-29,text,true,,1029552,129,55,55,http://localhost:8080/api/plans/all,2092,0,1
1717074421027,1974,GET All Plan,200,,Resistance Test Thread 1-33,text,true,,1029552,129,57,57,http://localhost:8080/api/plans/all,1860,0,2
1717074420066,3026,GET All Plan,200,,Resistance Test Thread 1-21,text,true,,1029552,129,58,58,http://localhost:8080/api/plans/all,2665,0,1
1717074422471,893,GET All Plan,200,,Resistance Test Thread 1-51,text,true,,1029552,129,62,62,http://localhost:8080/api/plans/all,855,0,5
1717074420786,2602,GET All Plan,200,,Resistance Test Thread 1-30,text,true,,1029552,129,62,62,http://localhost:8080/api/plans/all,2562,0,2
1717074421266,2309,GET All Plan,200,,Resistance Test Thread 1-36,text,true,,1029552,129,64,64,http://localhost:8080/api/plans/all,2279,0,2
1717074421425,2266,GET All Plan,200,,Resistance Test Thread 1-38,text,true,,1029552,129,66,66,http://localhost:8080/api/plans/all,2231,0,1
1717074421510,2239,GET All Plan,200,,Resistance Test Thread 1-39,text,true,,1029552,129,67,67,http://localhost:8080/api/plans/all,2162,0,2
1717074421122,2668,GET All Plan,200,,Resistance Test Thread 1-34,text,true,,1029552,129,67,67,http://localhost:8080/api/plans/all,2629,0,2
1717074421587,2210,GET All Plan,200,,Resistance Test Thread 1-40,text,true,,1029552,129,67,67,http://localhost:8080/api/plans/all,2076,0,1
