timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717079624043,52,GET All Plan,200,,Resistance Test Thread 1-1,text,true,,736,129,1,1,http://localhost:8080/api/plans/all,51,0,2
1717079624121,17,GET All Plan,200,,Resistance Test Thread 1-2,text,true,,736,129,2,2,http://localhost:8080/api/plans/all,16,0,1
1717079624200,20,GET All Plan,200,,Resistance Test Thread 1-3,text,true,,736,129,3,3,http://localhost:8080/api/plans/all,19,0,1
1717079624280,25,GET All Plan,200,,Resistance Test Thread 1-4,text,true,,736,129,4,4,http://localhost:8080/api/plans/all,24,0,1
1717079624360,17,GET All Plan,200,,Resistance Test Thread 1-5,text,true,,949,129,5,5,http://localhost:8080/api/plans/all,16,0,1
1717079624441,37,GET All Plan,200,,Resistance Test Thread 1-6,text,true,,1002,129,6,6,http://localhost:8080/api/plans/all,36,0,1
1717079624521,24,GET All Plan,200,,Resistance Test Thread 1-7,text,true,,1002,129,7,7,http://localhost:8080/api/plans/all,24,0,1
1717079624600,19,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,1108,129,8,8,http://localhost:8080/api/plans/all,18,0,1
1717079624680,26,GET All Plan,200,,Resistance Test Thread 1-9,text,true,,1161,129,9,9,http://localhost:8080/api/plans/all,26,0,1
1717079624760,19,GET All Plan,200,,Resistance Test Thread 1-10,text,true,,1214,129,10,10,http://localhost:8080/api/plans/all,19,0,1
1717079624840,19,GET All Plan,200,,Resistance Test Thread 1-11,text,true,,1268,129,11,11,http://localhost:8080/api/plans/all,18,0,1
1717079624920,21,GET All Plan,200,,Resistance Test Thread 1-12,text,true,,1322,129,12,12,http://localhost:8080/api/plans/all,20,0,1
1717079625000,18,GET All Plan,200,,Resistance Test Thread 1-13,text,true,,1376,129,13,13,http://localhost:8080/api/plans/all,18,0,1
1717079625080,18,GET All Plan,200,,Resistance Test Thread 1-14,text,true,,1430,129,14,14,http://localhost:8080/api/plans/all,17,0,1
1717079625160,16,GET All Plan,200,,Resistance Test Thread 1-15,text,true,,1484,129,15,15,http://localhost:8080/api/plans/all,16,0,1
1717079625240,18,GET All Plan,200,,Resistance Test Thread 1-16,text,true,,1538,129,16,16,http://localhost:8080/api/plans/all,17,0,1
1717079625319,23,GET All Plan,200,,Resistance Test Thread 1-17,text,true,,1592,129,17,17,http://localhost:8080/api/plans/all,23,0,1
1717079625401,21,GET All Plan,200,,Resistance Test Thread 1-18,text,true,,1646,129,18,18,http://localhost:8080/api/plans/all,20,0,1
1717079625481,23,GET All Plan,200,,Resistance Test Thread 1-19,text,true,,1700,129,19,19,http://localhost:8080/api/plans/all,22,0,1
1717079625560,27,GET All Plan,200,,Resistance Test Thread 1-20,text,true,,1754,129,20,20,http://localhost:8080/api/plans/all,26,0,1
1717079625593,37,GET All Plan,200,,Resistance Test Thread 1-2,text,true,,1754,129,20,20,http://localhost:8080/api/plans/all,37,0,0
1717079625593,39,GET All Plan,200,,Resistance Test Thread 1-9,text,true,,1754,129,20,20,http://localhost:8080/api/plans/all,39,0,0
1717079625593,43,GET All Plan,200,,Resistance Test Thread 1-4,text,true,,1754,129,20,20,http://localhost:8080/api/plans/all,43,0,0
1717079625594,53,GET All Plan,200,,Resistance Test Thread 1-6,text,true,,1754,129,21,21,http://localhost:8080/api/plans/all,52,0,1
1717079625607,49,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,1754,129,21,21,http://localhost:8080/api/plans/all,49,0,1
1717079625641,20,GET All Plan,200,,Resistance Test Thread 1-21,text,true,,1754,129,21,21,http://localhost:8080/api/plans/all,20,0,1
1717079625594,99,GET All Plan,200,,Resistance Test Thread 1-5,text,true,,1754,129,21,21,http://localhost:8080/api/plans/all,99,0,1
1717079625678,20,GET All Plan,200,,Resistance Test Thread 1-15,text,true,,1916,129,21,21,http://localhost:8080/api/plans/all,20,0,1
1717079625681,36,GET All Plan,200,,Resistance Test Thread 1-11,text,true,,1970,129,21,21,http://localhost:8080/api/plans/all,36,0,1
1717079625720,57,GET All Plan,200,,Resistance Test Thread 1-22,text,true,,2132,129,22,22,http://localhost:8080/api/plans/all,57,0,2
1717079625766,16,GET All Plan,200,,Resistance Test Thread 1-13,text,true,,2240,129,22,22,http://localhost:8080/api/plans/all,15,0,1
1717079625771,12,GET All Plan,200,,Resistance Test Thread 1-12,text,true,,2240,129,22,22,http://localhost:8080/api/plans/all,12,0,0
1717079625771,16,GET All Plan,200,,Resistance Test Thread 1-14,text,true,,2240,129,22,22,http://localhost:8080/api/plans/all,16,0,0
1717079625593,315,GET All Plan,200,,Resistance Test Thread 1-3,text,true,,2402,129,24,24,http://localhost:8080/api/plans/all,315,0,0
1717079625593,322,GET All Plan,200,,Resistance Test Thread 1-1,text,true,,2402,129,24,24,http://localhost:8080/api/plans/all,322,0,0
1717079625880,42,GET All Plan,200,,Resistance Test Thread 1-24,text,true,,2402,129,24,24,http://localhost:8080/api/plans/all,42,0,1
1717079625801,121,GET All Plan,200,,Resistance Test Thread 1-23,text,true,,2348,129,24,24,http://localhost:8080/api/plans/all,121,0,1
1717079625593,334,GET All Plan,200,,Resistance Test Thread 1-7,text,true,,2402,129,24,24,http://localhost:8080/api/plans/all,333,0,0
1717079625907,21,GET All Plan,200,,Resistance Test Thread 1-16,text,true,,2456,129,24,24,http://localhost:8080/api/plans/all,20,0,0
1717079625595,339,GET All Plan,200,,Resistance Test Thread 1-10,text,true,,2456,129,24,24,http://localhost:8080/api/plans/all,338,0,1
1717079625960,22,GET All Plan,200,,Resistance Test Thread 1-25,text,true,,2780,129,25,25,http://localhost:8080/api/plans/all,22,0,1
1717079625989,27,GET All Plan,200,,Resistance Test Thread 1-17,text,true,,2888,129,25,25,http://localhost:8080/api/plans/all,27,0,0
1717079626041,27,GET All Plan,200,,Resistance Test Thread 1-26,text,true,,2942,129,26,26,http://localhost:8080/api/plans/all,26,0,1
1717079626122,42,GET All Plan,200,,Resistance Test Thread 1-27,text,true,,3050,129,27,27,http://localhost:8080/api/plans/all,41,0,1
1717079626200,20,GET All Plan,200,,Resistance Test Thread 1-28,text,true,,3104,129,28,28,http://localhost:8080/api/plans/all,19,0,1
1717079626280,27,GET All Plan,200,,Resistance Test Thread 1-29,text,true,,3158,129,29,29,http://localhost:8080/api/plans/all,27,0,1
1717079626311,23,GET All Plan,200,,Resistance Test Thread 1-19,text,true,,3158,129,29,29,http://localhost:8080/api/plans/all,23,0,0
1717079626338,55,GET All Plan,200,,Resistance Test Thread 1-8,text,true,,3158,129,30,30,http://localhost:8080/api/plans/all,54,0,0
1717079626360,36,GET All Plan,200,,Resistance Test Thread 1-30,text,true,,3212,129,30,30,http://localhost:8080/api/plans/all,36,0,1
1717079626372,33,GET All Plan,200,,Resistance Test Thread 1-21,text,true,,3212,129,30,30,http://localhost:8080/api/plans/all,33,0,1
