timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718031343354,29,GET All Plan,200,,Stress Test Thread 1-1,text,true,,277856,129,1,1,http://localhost:8080/api/plans/all,24,0,2
1718031343387,24,GET All Plan,200,,Stress Test Thread 1-2,text,true,,277856,129,2,2,http://localhost:8080/api/plans/all,19,0,1
1718031343410,24,GET All Plan,200,,Stress Test Thread 1-1,text,true,,277856,129,3,3,http://localhost:8080/api/plans/all,18,0,0
1718031343422,28,GET All Plan,200,,Stress Test Thread 1-3,text,true,,277856,129,3,3,http://localhost:8080/api/plans/all,23,0,1
1718031343437,27,GET All Plan,200,,Stress Test Thread 1-2,text,true,,277856,129,4,4,http://localhost:8080/api/plans/all,20,0,0
1718031343458,27,GET All Plan,200,,Stress Test Thread 1-1,text,true,,277856,129,4,4,http://localhost:8080/api/plans/all,22,0,0
1718031343456,32,GET All Plan,200,,Stress Test Thread 1-4,text,true,,277856,129,4,4,http://localhost:8080/api/plans/all,26,0,0
1718031343481,34,GET All Plan,200,,Stress Test Thread 1-3,text,true,,277856,129,5,5,http://localhost:8080/api/plans/all,28,0,0
1718031343489,36,GET All Plan,200,,Stress Test Thread 1-5,text,true,,277856,129,6,6,http://localhost:8080/api/plans/all,30,0,1
1718031343494,50,GET All Plan,200,,Stress Test Thread 1-2,text,true,,277856,129,6,6,http://localhost:8080/api/plans/all,43,0,0
1718031343512,40,GET All Plan,200,,Stress Test Thread 1-1,text,true,,277856,129,6,6,http://localhost:8080/api/plans/all,34,0,0
1718031343519,52,GET All Plan,200,,Stress Test Thread 1-6,text,true,,277856,129,7,7,http://localhost:8080/api/plans/all,46,0,1
1718031343520,61,GET All Plan,200,,Stress Test Thread 1-4,text,true,,277856,129,7,7,http://localhost:8080/api/plans/all,55,0,0
1718031343549,33,GET All Plan,200,,Stress Test Thread 1-3,text,true,,277856,129,7,7,http://localhost:8080/api/plans/all,28,0,0
1718031343562,48,GET All Plan,200,,Stress Test Thread 1-5,text,true,,277856,129,8,8,http://localhost:8080/api/plans/all,43,0,0
1718031343553,62,GET All Plan,200,,Stress Test Thread 1-7,text,true,,277856,129,8,8,http://localhost:8080/api/plans/all,56,0,1
1718031343581,45,GET All Plan,200,,Stress Test Thread 1-2,text,true,,277856,129,9,9,http://localhost:8080/api/plans/all,36,0,0
1718031343586,64,GET All Plan,200,,Stress Test Thread 1-8,text,true,,277856,129,9,9,http://localhost:8080/api/plans/all,58,0,1
1718031343600,54,GET All Plan,200,,Stress Test Thread 1-1,text,true,,277856,129,10,10,http://localhost:8080/api/plans/all,47,0,0
1718031343624,72,GET All Plan,200,,Stress Test Thread 1-4,text,true,,277856,129,10,10,http://localhost:8080/api/plans/all,51,0,0
1718031343651,46,GET All Plan,200,,Stress Test Thread 1-10,text,true,,277856,129,10,10,http://localhost:8080/api/plans/all,45,0,1
1718031343627,70,GET All Plan,200,,Stress Test Thread 1-6,text,true,,277856,129,10,10,http://localhost:8080/api/plans/all,68,0,0
1718031343642,61,GET All Plan,200,,Stress Test Thread 1-3,text,true,,277856,129,11,11,http://localhost:8080/api/plans/all,56,0,0
1718031343619,96,GET All Plan,200,,Stress Test Thread 1-9,text,true,,277856,129,11,11,http://localhost:8080/api/plans/all,88,0,1
1718031343667,83,GET All Plan,200,,Stress Test Thread 1-2,text,true,,277856,129,12,12,http://localhost:8080/api/plans/all,78,0,0
