timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716735346500,100,GET Plan from User,200,,Stress Test Thread 1-2,text,true,,604,1021,15,15,http://localhost:8086/api/subscriptions/userPlanDetails,100,0,1
1716735346543,281,GET Plan from User,200,,Stress Test Thread 1-3,text,true,,604,1021,22,22,http://localhost:8086/api/subscriptions/userPlanDetails,281,0,0
1716735346592,338,GET Plan from User,200,,Stress Test Thread 1-1,text,true,,604,1021,25,25,http://localhost:8086/api/subscriptions/userPlanDetails,338,0,1
1716735346597,421,GET Plan from User,200,,Stress Test Thread 1-4,text,true,,604,1021,25,25,http://localhost:8086/api/subscriptions/userPlanDetails,421,0,1
1716735346847,534,GET Plan from User,200,,Stress Test Thread 1-8,text,true,,604,1021,38,38,http://localhost:8086/api/subscriptions/userPlanDetails,534,0,1
1716735346821,568,GET Plan from User,200,,Stress Test Thread 1-10,text,true,,604,1021,39,39,http://localhost:8086/api/subscriptions/userPlanDetails,568,0,1
1716735346934,583,GET Plan from User,200,,Stress Test Thread 1-9,text,true,,604,1021,43,43,http://localhost:8086/api/subscriptions/userPlanDetails,583,0,1
1716735347038,682,GET Plan from User,200,,Stress Test Thread 1-13,text,true,,604,1021,49,49,http://localhost:8086/api/subscriptions/userPlanDetails,682,0,1
1716735347030,699,GET Plan from User,200,,Stress Test Thread 1-6,text,true,,604,1021,49,49,http://localhost:8086/api/subscriptions/userPlanDetails,699,0,1
1716735347095,772,GET Plan from User,200,,Stress Test Thread 1-12,text,true,,604,1021,53,53,http://localhost:8086/api/subscriptions/userPlanDetails,772,0,1
1716735347304,857,GET Plan from User,200,,Stress Test Thread 1-16,text,true,,604,1021,62,62,http://localhost:8086/api/subscriptions/userPlanDetails,857,0,0
1716735347301,873,GET Plan from User,200,,Stress Test Thread 1-14,text,true,,604,1021,62,62,http://localhost:8086/api/subscriptions/userPlanDetails,873,0,1
1716735347346,901,GET Plan from User,200,,Stress Test Thread 1-18,text,true,,604,1021,65,65,http://localhost:8086/api/subscriptions/userPlanDetails,901,0,1
1716735347378,884,GET Plan from User,200,,Stress Test Thread 1-5,text,true,,604,1021,65,65,http://localhost:8086/api/subscriptions/userPlanDetails,884,0,0
1716735347464,983,GET Plan from User,200,,Stress Test Thread 1-20,text,true,,604,1021,71,71,http://localhost:8086/api/subscriptions/userPlanDetails,983,0,1
1716735347510,979,GET Plan from User,200,,Stress Test Thread 1-11,text,true,,604,1021,72,72,http://localhost:8086/api/subscriptions/userPlanDetails,979,0,0
1716735347637,998,GET Plan from User,200,,Stress Test Thread 1-15,text,true,,604,1021,76,76,http://localhost:8086/api/subscriptions/userPlanDetails,998,0,1
1716735347727,1028,GET Plan from User,200,,Stress Test Thread 1-7,text,true,,604,1021,80,80,http://localhost:8086/api/subscriptions/userPlanDetails,1028,0,0
1716735347641,1120,GET Plan from User,200,,Stress Test Thread 1-17,text,true,,604,1021,80,80,http://localhost:8086/api/subscriptions/userPlanDetails,1120,0,1
1716735347861,1154,GET Plan from User,200,,Stress Test Thread 1-21,text,true,,604,1021,88,88,http://localhost:8086/api/subscriptions/userPlanDetails,1154,0,1
1716735347863,1550,GET Plan from User,200,,Stress Test Thread 1-23,text,true,,604,1021,100,100,http://localhost:8086/api/subscriptions/userPlanDetails,1550,0,1
1716735347771,1734,GET Plan from User,200,,Stress Test Thread 1-22,text,true,,604,1021,103,103,http://localhost:8086/api/subscriptions/userPlanDetails,1734,0,1
1716735348067,1504,GET Plan from User,200,,Stress Test Thread 1-24,text,true,,604,1021,105,105,http://localhost:8086/api/subscriptions/userPlanDetails,1504,0,1
1716735348060,1517,GET Plan from User,200,,Stress Test Thread 1-26,text,true,,604,1021,105,105,http://localhost:8086/api/subscriptions/userPlanDetails,1517,0,1
1716735348087,1680,GET Plan from User,200,,Stress Test Thread 1-28,text,true,,604,1021,109,109,http://localhost:8086/api/subscriptions/userPlanDetails,1680,0,1
1716735348090,1785,GET Plan from User,200,,Stress Test Thread 1-25,text,true,,604,1021,114,114,http://localhost:8086/api/subscriptions/userPlanDetails,1785,0,0
1716735348158,1908,GET Plan from User,200,,Stress Test Thread 1-30,text,true,,604,1021,120,120,http://localhost:8086/api/subscriptions/userPlanDetails,1908,0,1
1716735348161,2066,GET Plan from User,200,,Stress Test Thread 1-19,text,true,,604,1021,125,125,http://localhost:8086/api/subscriptions/userPlanDetails,2066,0,0
1716735348262,1971,GET Plan from User,200,,Stress Test Thread 1-27,text,true,,604,1021,125,125,http://localhost:8086/api/subscriptions/userPlanDetails,1971,0,1
1716735348439,2554,GET Plan from User,200,,Stress Test Thread 1-32,text,true,,604,1021,148,148,http://localhost:8086/api/subscriptions/userPlanDetails,2554,0,1
1716735348442,2727,GET Plan from User,200,,Stress Test Thread 1-36,text,true,,604,1021,153,153,http://localhost:8086/api/subscriptions/userPlanDetails,2727,0,1
1716735348334,2846,GET Plan from User,200,,Stress Test Thread 1-29,text,true,,604,1021,153,153,http://localhost:8086/api/subscriptions/userPlanDetails,2846,0,1
1716735348470,3046,GET Plan from User,200,,Stress Test Thread 1-62,text,true,,604,1021,164,164,http://localhost:8086/api/subscriptions/userPlanDetails,3046,0,1
1716735348478,3125,GET Plan from User,200,,Stress Test Thread 1-33,text,true,,604,1021,166,166,http://localhost:8086/api/subscriptions/userPlanDetails,3125,0,0
1716735348561,3412,GET Plan from User,200,,Stress Test Thread 1-39,text,true,,604,1021,178,178,http://localhost:8086/api/subscriptions/userPlanDetails,3412,0,1
1716735350063,1997,GET Plan from User,200,,Stress Test Thread 1-66,text,true,,604,1021,180,180,http://localhost:8086/api/subscriptions/userPlanDetails,1997,0,1
1716735350186,2110,GET Plan from User,200,,Stress Test Thread 1-70,text,true,,604,1021,187,187,http://localhost:8086/api/subscriptions/userPlanDetails,2110,0,1
1716735348707,3595,GET Plan from User,200,,Stress Test Thread 1-37,text,true,,604,1021,188,188,http://localhost:8086/api/subscriptions/userPlanDetails,3595,0,1
1716735348283,4420,GET Plan from User,200,,Stress Test Thread 1-31,text,true,,604,1021,200,200,http://localhost:8086/api/subscriptions/userPlanDetails,4420,0,1
1716735348756,4535,GET Plan from User,200,,Stress Test Thread 1-38,text,true,,604,1021,217,217,http://localhost:8086/api/subscriptions/userPlanDetails,4535,0,1
