timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716735347536,947,POST Create Plan,201,,Stress Test Thread 1-2,text,true,,689,1280,72,72,http://localhost:8080/api/plans/create,947,0,0
1716735347746,1006,POST Create Plan,201,,Stress Test Thread 1-3,text,true,,689,1280,80,80,http://localhost:8080/api/plans/create,1006,0,0
1716735348172,1206,POST Create Plan,201,,Stress Test Thread 1-4,text,true,,689,1280,99,99,http://localhost:8080/api/plans/create,1206,0,0
1716735348648,1395,POST Create Plan,201,,Stress Test Thread 1-1,text,true,,689,1280,119,119,http://localhost:8080/api/plans/create,1395,0,0
1716735349029,1521,POST Create Plan,201,,Stress Test Thread 1-10,text,true,,691,1281,134,134,http://localhost:8080/api/plans/create,1521,0,0
1716735349036,1537,POST Create Plan,201,,Stress Test Thread 1-8,text,true,,689,1280,135,135,http://localhost:8080/api/plans/create,1537,0,0
1716735349423,1528,POST Create Plan,201,,Stress Test Thread 1-13,text,true,,691,1281,147,147,http://localhost:8080/api/plans/create,1527,0,0
1716735349590,1605,POST Create Plan,201,,Stress Test Thread 1-12,text,true,,691,1281,154,154,http://localhost:8080/api/plans/create,1605,0,0
1716735349435,1928,POST Create Plan,201,,Stress Test Thread 1-9,text,true,,689,1280,159,159,http://localhost:8080/api/plans/create,1928,0,0
1716735351533,25,POST Create Plan,201,,Stress Test Thread 1-15,text,true,,691,1281,165,165,http://localhost:8080/api/plans/create,24,0,0
1716735349886,1884,POST Create Plan,201,,Stress Test Thread 1-14,text,true,,691,1281,171,171,http://localhost:8080/api/plans/create,1883,0,0
1716735349892,1920,POST Create Plan,201,,Stress Test Thread 1-16,text,true,,691,1281,173,173,http://localhost:8080/api/plans/create,1920,0,0
1716735350076,1973,POST Create Plan,201,,Stress Test Thread 1-20,text,true,,691,1281,180,180,http://localhost:8080/api/plans/create,1973,0,0
1716735351003,2200,POST Create Plan,201,,Stress Test Thread 1-18,text,true,,691,1281,215,215,http://localhost:8080/api/plans/create,2200,0,0
1716735351011,2199,POST Create Plan,201,,Stress Test Thread 1-5,text,true,,689,1280,215,215,http://localhost:8080/api/plans/create,2199,0,0
1716735351018,2262,POST Create Plan,201,,Stress Test Thread 1-11,text,true,,691,1281,217,217,http://localhost:8080/api/plans/create,2262,0,0
1716735351185,2239,POST Create Plan,201,,Stress Test Thread 1-7,text,true,,689,1280,221,221,http://localhost:8080/api/plans/create,2239,0,0
