timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716732231384,511,GET All Plan,200,,Stress Test Thread 1-1,text,true,,680708,129,16,16,http://localhost:8080/api/plans/all,488,0,3
1716732231418,524,GET All Plan,200,,Stress Test Thread 1-2,text,true,,680708,129,17,17,http://localhost:8080/api/plans/all,502,0,1
1716732231451,560,GET All Plan,200,,Stress Test Thread 1-3,text,true,,680708,129,19,19,http://localhost:8080/api/plans/all,520,0,1
1716732231584,513,GET All Plan,200,,Stress Test Thread 1-7,text,true,,680708,129,22,22,http://localhost:8080/api/plans/all,495,0,2
1716732231551,560,GET All Plan,200,,Stress Test Thread 1-6,text,true,,680708,129,23,23,http://localhost:8080/api/plans/all,528,0,0
1716732231483,750,GET All Plan,200,,Stress Test Thread 1-4,text,true,,680708,129,26,26,http://localhost:8080/api/plans/all,715,0,1
1716732231683,618,GET All Plan,200,,Stress Test Thread 1-10,text,true,,680708,129,28,28,http://localhost:8080/api/plans/all,575,0,0
1716732231999,408,GET All Plan,200,,Stress Test Thread 1-19,text,true,,680708,129,31,31,http://localhost:8080/api/plans/all,387,0,1
1716732231518,901,GET All Plan,200,,Stress Test Thread 1-5,text,true,,680708,129,32,32,http://localhost:8080/api/plans/all,879,0,2
1716732231747,696,GET All Plan,200,,Stress Test Thread 1-12,text,true,,680708,129,33,33,http://localhost:8080/api/plans/all,662,0,3
1716732232079,368,GET All Plan,200,,Stress Test Thread 1-22,text,true,,680708,129,33,33,http://localhost:8080/api/plans/all,346,0,1
1716732231846,680,GET All Plan,200,,Stress Test Thread 1-15,text,true,,680708,129,35,35,http://localhost:8080/api/plans/all,658,0,3
1716732231914,716,GET All Plan,200,,Stress Test Thread 1-17,text,true,,680708,129,38,38,http://localhost:8080/api/plans/all,672,0,1
1716732232409,240,GET All Plan,200,,Stress Test Thread 1-32,text,true,,680708,129,39,39,http://localhost:8080/api/plans/all,219,0,1
1716732231655,1047,GET All Plan,200,,Stress Test Thread 1-9,text,true,,680708,129,40,40,http://localhost:8080/api/plans/all,1016,0,1
1716732232045,695,GET All Plan,200,,Stress Test Thread 1-21,text,true,,680708,129,42,42,http://localhost:8080/api/plans/all,675,0,1
1716732231616,1174,GET All Plan,200,,Stress Test Thread 1-8,text,true,,680708,129,43,43,http://localhost:8080/api/plans/all,1137,0,0
1716732231879,941,GET All Plan,200,,Stress Test Thread 1-16,text,true,,680708,129,44,44,http://localhost:8080/api/plans/all,889,0,1
1716732231813,1018,GET All Plan,200,,Stress Test Thread 1-14,text,true,,680708,129,44,44,http://localhost:8080/api/plans/all,997,0,1
1716732231716,1146,GET All Plan,200,,Stress Test Thread 1-11,text,true,,680708,129,45,45,http://localhost:8080/api/plans/all,1117,0,2
1716732232144,935,GET All Plan,200,,Stress Test Thread 1-24,text,true,,680708,129,52,52,http://localhost:8080/api/plans/all,914,0,1
1716732232440,639,GET All Plan,200,,Stress Test Thread 1-33,text,true,,680708,129,52,52,http://localhost:8080/api/plans/all,618,0,1
1716732231780,1358,GET All Plan,200,,Stress Test Thread 1-13,text,true,,680708,129,54,54,http://localhost:8080/api/plans/all,1333,0,0
1716732232211,951,GET All Plan,200,,Stress Test Thread 1-26,text,true,,680708,129,54,54,http://localhost:8080/api/plans/all,930,0,0
1716732232110,1061,GET All Plan,200,,Stress Test Thread 1-23,text,true,,680708,129,55,55,http://localhost:8080/api/plans/all,1040,0,2
1716732232175,1008,GET All Plan,200,,Stress Test Thread 1-25,text,true,,680708,129,55,55,http://localhost:8080/api/plans/all,986,0,1
1716732232313,933,GET All Plan,200,,Stress Test Thread 1-29,text,true,,680708,129,57,57,http://localhost:8080/api/plans/all,911,0,0
1716732232243,1013,GET All Plan,200,,Stress Test Thread 1-27,text,true,,680708,129,57,57,http://localhost:8080/api/plans/all,993,0,1
1716732232301,981,GET All Plan,200,,Stress Test Thread 1-28,text,true,,680708,129,58,58,http://localhost:8080/api/plans/all,960,0,2
1716732232341,1015,GET All Plan,200,,Stress Test Thread 1-30,text,true,,680708,129,60,60,http://localhost:8080/api/plans/all,995,0,1
1716732232375,990,GET All Plan,200,,Stress Test Thread 1-31,text,true,,680708,129,61,61,http://localhost:8080/api/plans/all,970,0,0
1716732232017,1435,GET All Plan,200,,Stress Test Thread 1-20,text,true,,680708,129,63,63,http://localhost:8080/api/plans/all,1415,0,1
1716732232504,952,GET All Plan,200,,Stress Test Thread 1-34,text,true,,680708,129,63,63,http://localhost:8080/api/plans/all,931,0,0
1716732232507,975,GET All Plan,200,,Stress Test Thread 1-35,text,true,,680708,129,64,64,http://localhost:8080/api/plans/all,955,0,1
1716732232572,1004,GET All Plan,200,,Stress Test Thread 1-37,text,true,,680708,129,67,67,http://localhost:8080/api/plans/all,980,0,1
1716732232538,1045,GET All Plan,200,,Stress Test Thread 1-36,text,true,,680708,129,67,67,http://localhost:8080/api/plans/all,1018,0,1
1716732232672,948,GET All Plan,200,,Stress Test Thread 1-40,text,true,,680708,129,68,68,http://localhost:8080/api/plans/all,926,0,1
